accuracy,f1,auroc,auprc,n_patients,n_pos_patients,n_neg_patients,n_heterogeneous_patients,model,scheme,split,n_val_cells,hyperparams
1.0,1.0,,,10,0,10,0,Logistic Regression,LOOCV,Chen_Zhang_2020,10429,"{'C': 1, 'penalty': 'l1', 'solver': 'saga', 'max_iter': 1000, 'random_state': 42}"
0.875,0.875,0.7876602564102565,0.5460723304473304,64,12,52,11,Logistic Regression,5foldCV,fold2,102484,"{'C': 1, 'penalty': 'l1', 'solver': 'saga', 'max_iter': 1000, 'random_state': 42}"
1.0,1.0,,,7,0,7,0,SGD,LOOCV,Goveia_Carmeliet_2020,1470,"{'loss': 'log_loss', 'alpha': 0.001, 'penalty': 'l2', 'max_iter': 1000, 'random_state': 42}"
1.0,1.0,,,42,0,42,0,scMeta-Tran,LOOCV,Single_cell_map_anti-PD1,60590,"conv=TransformerConv,hidden_dim=256,heads=4,dropout=0.3,tau=0.7,gamma=0.5,lr=0.0001,epochs=100,patience=15,eval=NeighborLoader[25,25]"
0.84375,0.8482277526395174,0.7868589743589745,0.5333829365079366,64,12,52,11,SGD,5foldCV,fold2,102484,"{'loss': 'log_loss', 'alpha': 0.001, 'penalty': 'l2', 'max_iter': 1000, 'random_state': 42}"
1.0,1.0,,,10,0,10,0,scMeta-Tran,LOOCV,Chen_Zhang_2020,10429,"conv=TransformerConv,hidden_dim=256,heads=4,dropout=0.3,tau=0.7,gamma=0.5,lr=0.0001,epochs=100,patience=15,eval=NeighborLoader[25,25]"
0.9,0.9473684210526316,,,20,0,20,0,scMeta-Tran,LOOCV,Wu_etal_2021_BRCA,22380,"conv=TransformerConv,hidden_dim=256,heads=4,dropout=0.3,tau=0.7,gamma=0.5,lr=0.0001,epochs=100,patience=15,eval=NeighborLoader[25,25]"
1.0,1.0,,,42,0,42,0,Logistic Regression,LOOCV,Single_cell_map_anti-PD1,60590,"{'C': 1, 'penalty': 'l1', 'solver': 'saga', 'max_iter': 1000, 'random_state': 42}"
0.8571428571428571,0.864379183501176,0.8849056603773585,0.767881241565452,63,10,53,6,scMeta-GAT,5foldCV,fold5,73366,"conv=GATConv,hidden_dim=256,heads=4,dropout=0.3,tau=0.7,gamma=0.5,lr=0.0001,epochs=100,patience=15,eval=NeighborLoader[25,25]"
0.8888888888888888,0.872872872872873,0.839622641509434,0.6877542321276336,63,10,53,6,Logistic Regression,5foldCV,fold5,73366,"{'C': 1, 'penalty': 'l1', 'solver': 'saga', 'max_iter': 1000, 'random_state': 42}"
1.0,1.0,,,10,0,10,0,scMeta-SAGE,LOOCV,Chen_Zhang_2020,10429,"conv=SAGEConv,hidden_dim=256,heads=4,dropout=0.3,tau=0.7,gamma=0.5,lr=0.0001,epochs=100,patience=15,eval=NeighborLoader[25,25]"
1.0,1.0,,,7,0,7,0,Elastic Net,LOOCV,2098-Colorectalcancer,8874,"{'C': 0.1, 'penalty': 'elasticnet', 'l1_ratio': 0.5, 'solver': 'saga', 'max_iter': 1000, 'random_state': 42}"
